id,non_ego_model,ego_model,cloudiness,precipitation,fog_density,front,back,across,Max_dist_from_centre,Collisions,Min_dist_from_non_ego,Dist_to_dest
0,10,2,64,98,91,1,2,1,1.399818778038025,122,0.007202979177236557,0.16747521131466597
0,10,2,64,98,91,1,2,1,1.0340404510498047,30,0.007202979177236557,0.15682249802809495
0,10,2,64,98,91,1,2,1,1.2706187963485718,84,0.007202979177236557,0.13597730489877555
0,10,2,64,98,91,1,2,1,0.8536233901977539,13,0.007202979177236557,0.15251577817476714
0,10,2,64,98,91,1,2,1,1.1538997888565063,56,0.007202979177236557,0.13801056299454126
0,10,2,64,98,91,1,2,1,0.8448518514633179,5,0.007202979177236557,0.1491999014829978
0,10,2,64,98,91,1,2,1,0.8407272100448608,7,0.007202979177236557,0.14750086955535105
0,10,2,64,98,91,1,2,1,0.8397660255432129,1,0.007202979177236557,0.14407495351938102
0,10,2,64,98,91,1,2,1,0.9293789267539978,142,0.007202979177236557,0.1547060746413011
0,10,2,64,98,91,1,2,1,0.8701009750366211,5,0.007202979177236557,0.1444406631665352
1,17,7,43,13,14,5,4,5,1.5633183717727661,0,0.01054379902780056,0.1343253331306653
1,17,7,43,13,14,5,4,5,1.4071078300476074,0,0.01054379902780056,0.13135210673014322
1,17,7,43,13,14,5,4,5,1.4816936254501343,0,0.01054379902780056,0.13218058072603667
1,17,7,43,13,14,5,4,5,0.9073695540428162,0,0.01054379902780056,0.1079560671097193
1,17,7,43,13,14,5,4,5,0.8985037803649902,0,0.01054379902780056,0.10704322961660531
1,17,7,43,13,14,5,4,5,1.5677287578582764,0,0.01054379902780056,0.13483249224149263
1,17,7,43,13,14,5,4,5,1.5774612426757812,0,0.01054379902780056,0.13521863252688676
1,17,7,43,13,14,5,4,5,1.558086633682251,0,0.01054379902780056,0.13448135669414812
1,17,7,43,13,14,5,4,5,1.481213092803955,0,0.01054379902780056,0.13254136305588943
1,17,7,43,13,14,5,4,5,1.4770801067352295,0,0.01054379902780056,0.13305163994813576
2,2,25,18,27,6,0,1,5,1.1395268440246582,14,0.0029502791166305543,0.13446915455353567
2,2,25,18,27,6,0,1,5,1.2404664754867554,11,0.003043486177921295,0.13655651532686675
2,2,25,18,27,6,0,1,5,1.3523811101913452,15,0.003043486177921295,0.13727404521061823
2,2,25,18,27,6,0,1,5,1.1211185455322266,16,0.0029502791166305543,0.13712516197791466
2,2,25,18,27,6,0,1,5,1.1755223274230957,11,0.0029502791166305543,0.13498128988803962
2,2,25,18,27,6,0,1,5,1.211283564567566,14,0.0029502791166305543,0.13350770412347254
2,2,25,18,27,6,0,1,5,1.2331745624542236,13,0.003043486177921295,0.13903584847083458
2,2,25,18,27,6,0,1,5,1.3414264917373657,15,0.0029502791166305543,0.13264104647514147
2,2,25,18,27,6,0,1,5,1.1444610357284546,15,0.0029502791166305543,0.1373276710510254
2,2,25,18,27,6,0,1,5,1.333158016204834,15,0.003043486177921295,0.13391630466167742
3,6,17,66,53,11,2,0,0,1.5110701322555542,0,0.3043486177921295,0.13402977967873597
3,6,17,66,53,11,2,0,0,1.7537047863006592,0,0.3043486177921295,0.13566985497107872
3,6,17,66,53,11,2,0,0,1.4545241594314575,0,0.3043486177921295,0.13055764711820161
3,6,17,66,53,11,2,0,0,1.4530675411224365,0,0.3043486177921295,0.13420996299156776
3,6,17,66,53,11,2,0,0,1.7601401805877686,0,0.3043486177921295,0.13010014020479643
3,6,17,66,53,11,2,0,0,1.3922473192214966,0,0.2950279116630554,0.1330586091066018
3,6,17,66,53,11,2,0,0,1.3816624879837036,0,0.3043486177921295,0.13297093220246145
3,6,17,66,53,11,2,0,0,1.5250036716461182,0,0.2950279116630554,0.13299371034671098
3,6,17,66,53,11,2,0,0,0.8961358666419983,0,0.3043486177921295,0.10570051731207432
3,6,17,66,53,11,2,0,0,1.4232993125915527,0,0.3043486177921295,0.12861215151273286
4,5,23,82,51,37,4,3,1,1.4653047323226929,0,0.2950279116630554,0.1357875970693735
4,5,23,82,51,37,4,3,1,1.3378444910049438,0,0.2950279116630554,0.13056413943950945
4,5,23,82,51,37,4,3,1,1.9082906246185303,0,0.3043486177921295,0.12137765150803786
4,5,23,82,51,37,4,3,1,1.2062087059020996,0,0.3043486177921295,0.13463153594579452
4,5,23,82,51,37,4,3,1,1.4797823429107666,0,0.2950279116630554,0.13337213565141726
4,5,23,82,51,37,4,3,1,1.4532577991485596,0,0.3043486177921295,0.13181040837214544
4,5,23,82,51,37,4,3,1,0.8550564050674438,0,0.2950279116630554,0.1047366826962202
4,5,23,82,51,37,4,3,1,1.2870752811431885,0,0.2950279116630554,0.1316227668370956
4,5,23,82,51,37,4,3,1,1.5191316604614258,0,0.2950279116630554,0.13534596027472082
4,5,23,82,51,37,4,3,1,1.5590320825576782,0,0.3043486177921295,0.13405171418801332
5,7,14,73,13,9,3,5,5,1.9372386932373047,0,0.2950279116630554,0.12026399221175756
5,7,14,73,13,9,3,5,5,1.931701898574829,0,0.2950279116630554,0.11863308686476487
5,7,14,73,13,9,3,5,5,1.9001505374908447,0,0.2950279116630554,0.1192324344928448
5,7,14,73,13,9,3,5,5,1.8830612897872925,0,0.29585927724838257,0.1198261456611829
5,7,14,73,13,9,3,5,5,1.8832415342330933,0,0.2950279116630554,0.12043895476903671
5,7,14,73,13,9,3,5,5,1.8679472208023071,0,0.29585927724838257,0.12008462808071038
5,7,14,73,13,9,3,5,5,1.890156865119934,0,0.2950279116630554,0.12055234419993865
5,7,14,73,13,9,3,5,5,1.9108200073242188,0,0.29585927724838257,0.11618556731786484
