id,non_ego_model,ego_model,cloudiness,precipitation,fog_density,front,back,across,Max_dist_from_centre,Collisions,Min_dist_from_non_ego,Dist_to_dest
0,10,2,64,98,91,1,2,1,2.844332695007324,9,0.007202979177236557,0.33510037020788813
0,10,2,64,98,91,1,2,1,2.843857765197754,22,0.007202979177236557,0.3296870603433193
0,10,2,64,98,91,1,2,1,2.844336748123169,9,0.007202979177236557,0.3342661024249451
0,10,2,64,98,91,1,2,1,2.844813346862793,18,0.007202979177236557,0.31954218954186897
0,10,2,64,98,91,1,2,1,2.8448848724365234,9,0.007202979177236557,0.3225451541415415
0,10,2,64,98,91,1,2,1,2.844456434249878,174,0.007202979177236557,0.3269604098094163
0,10,2,64,98,91,1,2,1,2.844383955001831,123,0.007202979177236557,0.319538170697154
0,10,2,64,98,91,1,2,1,2.8448328971862793,0,0.007202979177236557,0.3350714246637449
0,10,2,64,98,91,1,2,1,2.8436031341552734,11,0.007202979177236557,0.31586171675862545
0,10,2,64,98,91,1,2,1,2.8440136909484863,0,0.007202979177236557,0.3286925811925373
1,17,7,43,13,14,5,4,5,2.8447883129119873,0,0.01054379902780056,0.32686297131669556
1,17,7,43,13,14,5,4,5,2.8448269367218018,0,0.01054379902780056,0.3320964686996318
1,17,7,43,13,14,5,4,5,2.8440749645233154,0,0.01054379902780056,0.331002948449341
1,17,7,43,13,14,5,4,5,2.843879222869873,0,0.01054379902780056,0.31971463003227607
1,17,7,43,13,14,5,4,5,2.8445587158203125,0,0.01054379902780056,0.33333607272253657
1,17,7,43,13,14,5,4,5,2.8448362350463867,0,0.01054379902780056,0.3183799297881102
1,17,7,43,13,14,5,4,5,2.8445236682891846,0,0.01054379902780056,0.32409549129292786
1,17,7,43,13,14,5,4,5,2.84503436088562,0,0.01054379902780056,0.3201457312582937
1,17,7,43,13,14,5,4,5,2.844449520111084,0,0.01054379902780056,0.32069002583453426
1,17,7,43,13,14,5,4,5,2.8448879718780518,0,0.01054379902780056,0.32948029941215634
2,2,25,18,27,6,0,1,5,2.843271493911743,0,0.09532444924116135,0.3309337404915811
2,2,25,18,27,6,0,1,5,2.8433072566986084,0,0.024907806888222694,0.33537919913354064
2,2,25,18,27,6,0,1,5,2.84322452545166,0,0.13878342509269714,0.32169029902524265
2,2,25,18,27,6,0,1,5,2.842942714691162,0,0.3043486177921295,0.334069894043095
2,2,25,18,27,6,0,1,5,2.842750310897827,0,0.13533693552017212,0.33234216064800276
2,2,25,18,27,6,0,1,5,2.842965602874756,0,0.094964899122715,0.3199118739446662
2,2,25,18,27,6,0,1,5,2.842707633972168,0,0.04087131842970848,0.3235642394703941
2,2,25,18,27,6,0,1,5,2.84246563911438,0,0.06868298351764679,0.3188604652696706
2,2,25,18,27,6,0,1,5,2.8427047729492188,0,0.050878360867500305,0.33302965430463854
2,2,25,18,27,6,0,1,5,2.8428914546966553,0,0.06622415035963058,0.3301583746719755
3,6,17,66,53,11,2,0,0,2.845228433609009,0,0.1756456196308136,0.33122516837213745
3,6,17,66,53,11,2,0,0,2.8454086780548096,0,0.05523863062262535,0.32257947458229735
3,6,17,66,53,11,2,0,0,2.8452107906341553,0,0.07422968745231628,0.31693736177935594
3,6,17,66,53,11,2,0,0,2.84533953666687,0,0.11535719782114029,0.3208469826778187
3,6,17,66,53,11,2,0,0,2.844876527786255,0,0.1360034942626953,0.3199869992197978
3,6,17,66,53,11,2,0,0,2.8444507122039795,0,0.11158198863267899,0.326940019719973
3,6,17,66,53,11,2,0,0,2.8453001976013184,0,0.01883755251765251,0.33138128692879426
3,6,17,66,53,11,2,0,0,2.844376564025879,0,0.17146576941013336,0.3239859469550842
3,6,17,66,53,11,2,0,0,2.844151735305786,0,0.04712798073887825,0.3269917469359973
3,6,17,66,53,11,2,0,0,2.84511137008667,0,0.0836280807852745,0.33422110615743106
4,5,23,82,51,37,4,3,1,2.8433287143707275,0,0.08370530605316162,0.33457612054424424
4,5,23,82,51,37,4,3,1,2.8432695865631104,0,0.1601753979921341,0.30923276800650723
4,5,23,82,51,37,4,3,1,2.8437726497650146,0,0.04975500330328941,0.32287990171635655
4,5,23,82,51,37,4,3,1,2.8435003757476807,0,0.1434261053800583,0.3250234992452343
4,5,23,82,51,37,4,3,1,2.8429574966430664,0,0.140595942735672,0.31746661650727676
4,5,23,82,51,37,4,3,1,2.843883752822876,0,0.09947548061609268,0.3238318008375513
4,5,23,82,51,37,4,3,1,2.843932867050171,0,0.08201248198747635,0.3240129200601035
4,5,23,82,51,37,4,3,1,2.843562364578247,0,0.17966708540916443,0.3146924548459768
4,5,23,82,51,37,4,3,1,2.8432700634002686,0,0.09636655449867249,0.3220283011246122
4,5,23,82,51,37,4,3,1,2.84366774559021,0,0.18115481734275818,0.30925426759295777
5,7,14,73,13,9,3,5,5,2.8461499214172363,0,0.056418731808662415,0.3172090406131843
5,7,14,73,13,9,3,5,5,2.8463191986083984,0,0.004941454157233238,0.31783625159909584
5,7,14,73,13,9,3,5,5,2.847248077392578,0,0.016313744708895683,0.31265869752081127
5,7,14,73,13,9,3,5,5,2.846202850341797,0,0.045112788677215576,0.32420165782877186
5,7,14,73,13,9,3,5,5,2.846449613571167,0,0.057253148406744,0.3188523782692626
5,7,14,73,13,9,3,5,5,2.8457891941070557,0,0.1120903491973877,0.3227455293010408
5,7,14,73,13,9,3,5,5,2.846688985824585,0,0.009940880350768566,0.3257931943023587
5,7,14,73,13,9,3,5,5,2.8466062545776367,0,0.046889662742614746,0.3254304874029623
5,7,14,73,13,9,3,5,5,2.8466567993164062,0,0.0273197740316391,0.33006700142956075
5,7,14,73,13,9,3,5,5,2.846615791320801,0,0.008297372609376907,0.3243925406249874
6,23,14,45,41,79,1,0,0,2.8473150730133057,0,0.15603622794151306,0.3122140850867949
6,23,14,45,41,79,1,0,0,2.8468806743621826,0,0.16100889444351196,0.32717925193021313
6,23,14,45,41,79,1,0,0,2.846033811569214,0,0.16482219099998474,0.32022953526557046
6,23,14,45,41,79,1,0,0,2.8466179370880127,0,0.15286479890346527,0.31882853641135245
6,23,14,45,41,79,1,0,0,2.8453238010406494,0,0.04201849550008774,0.34188072831825483
